lowercase_name,correct_name
acta geophysica,Acta Geophysica
advances in space research,Advances in Space Research
advances in water resources,Advances in Water Resources
agricultural and forest meteorology,Agricultural and Forest Meteorology
agricultural systems,Agricultural Systems
agricultural water management,Agricultural Water Management
anthropocene,Anthropocene
applied computing and geosciences,Applied Computing and Geosciences
applied soft computing,Applied Soft Computing
applied water science,Applied Water Science
archives of pharmacy practice,Archives of Pharmacy Practice
"asce-asme journal of risk and uncertainty in engineering systems, part a: civil engineering","ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering"
atmosphere,Atmosphere
atmospheric research,Atmospheric Research
biogeosciences,Biogeosciences
book,Book
bulletin of the american meteorological society,Bulletin of the American Meteorological Society
catena,Catena
chinese geographical science,Chinese Geographical Science
climate dynamics,Climate Dynamics
climate risk management,Climate Risk Management
climatic change,Climatic Change
communications earth & environment,Communications Earth & Environment
computation,Computation
computers & chemical engineering,Computers & Chemical Engineering
conference,Conference
current science,Current Science
dissertation,Dissertation
earth and space science,Earth and Space Science
earth science informatics,Earth Science Informatics
earth surface processes and landforms,Earth Surface Processes and Landforms
earth system science data,Earth System Science Data
earth system science data discussions,Earth System Science Data Discussions
earth systems and environment,Earth Systems and Environment
earth's future,Earth's Future
ecohydrology,Ecohydrology
ecological engineering,Ecological Engineering
ecological indicators,Ecological Indicators
ecological informatics,Ecological Informatics
environment international,Environment International
"environment, development and sustainability","Environment, Development and Sustainability"
environmental earth sciences,Environmental Earth Sciences
environmental modeling & assessment,Environmental Modeling & Assessment
environmental modelling & software,Environmental Modelling & Software
environmental monitoring and assessment,Environmental Monitoring and Assessment
"environmental nanotechnology, monitoring & management","Environmental Nanotechnology, Monitoring & Management"
environmental pollution,Environmental Pollution
environmental research,Environmental Research
environmental research communications,Environmental Research Communications
environmental research letters,Environmental Research Letters
environmental research: climate,Environmental Research: Climate
environmental science & policy,Environmental Science & Policy
environmental science and pollution research,Environmental Science and Pollution Research
forecasting,Forecasting
forest ecology and management,Forest Ecology and Management
frontiers in earth science,Frontiers in Earth Science
frontiers in ecology and evolution,Frontiers in Ecology and Evolution
frontiers of earth science,Frontiers of Earth Science
geophysical research letters,Geophysical Research Letters
geoscience frontiers,Geoscience Frontiers
geoscientific model development,Geoscientific Model Development
geoscientific model development discussions,Geoscientific Model Development Discussions
global ecology and biogeography,Global Ecology and Biogeography
groundwater for sustainable development,Groundwater for Sustainable Development
hydrological processes,Hydrological Processes
hydrological sciences journal,Hydrological Sciences Journal
hydrology,Hydrology
hydrology and earth system sciences,Hydrology and Earth System Sciences
hydrology and earth system sciences discussions,Hydrology and Earth System Sciences Discussions
hydrology research,Hydrology Research
international journal of climatology,International Journal of Climatology
international journal of digital earth,International Journal of Digital Earth
international journal of disaster risk reduction,International Journal of Disaster Risk Reduction
international journal of energy and water resources,International Journal of Energy and Water Resources
international journal of environmental science and technology,International Journal of Environmental Science and Technology
international journal of hydrology science and technology,International Journal of Hydrology Science and Technology
international journal of river basin management,International Journal of River Basin Management
international journal of wildland fire,International Journal of Wildland Fire
international soil and water conservation research,International Soil and Water Conservation Research
iscience,Iscience
isprs journal of photogrammetry and remote sensing,ISPRS Journal of Photogrammetry and Remote Sensing
jawra journal of the american water resources association,JAWRA Journal of the American Water Resources Association
journal of advances in modeling earth systems,Journal of Advances in Modeling Earth Systems
journal of applied physics,Journal of Applied Physics
journal of arid environments,Journal of Arid Environments
journal of cleaner production,Journal of Cleaner Production
journal of climate,Journal of Climate
journal of computational science,Journal of Computational Science
journal of disaster research,Journal of Disaster Research
journal of earth system science,Journal of Earth System Science
journal of environmental informatics,Journal of Environmental Informatics
journal of environmental management,Journal of Environmental Management
journal of flood risk management,Journal of Flood Risk Management
journal of geographical sciences,Journal of Geographical Sciences
journal of geophysical research: atmospheres,Journal of Geophysical Research: Atmospheres
journal of geophysical research: oceans,Journal of Geophysical Research: Oceans
journal of hydroinformatics,Journal of Hydroinformatics
journal of hydrologic engineering,Journal of Hydrologic Engineering
journal of hydrology,Journal of Hydrology
journal of hydrology: regional studies,Journal of Hydrology: Regional Studies
journal of hydrometeorology,Journal of Hydrometeorology
journal of korea water resources association,Journal of Korea Water Resources Association
journal of mountain science,Journal of Mountain Science
journal of open source software,Journal of Open Source Software
journal of water and climate change,Journal of Water and Climate Change
journal of water resources planning and management,Journal of Water Resources Planning and Management
meteorological applications,Meteorological Applications
modeling earth systems and environment,Modeling Earth Systems and Environment
natural hazards,Natural Hazards
natural hazards and earth system sciences,Natural Hazards and Earth System Sciences
natural hazards and earth system sciences discussions,Natural Hazards and Earth System Sciences Discussions
nature geoscience,Nature Geoscience
nature water,Nature Water
neural computing and applications,Neural Computing and Applications
npj climate and atmospheric science,npj Climate and Atmospheric Science
preprint,Preprint
proceedings of the indian national science,Proceedings of the Indian National Science
proceedings of the national academy of sciences,Proceedings of the National Academy of Sciences
reliability engineering & system safety,Reliability Engineering & System Safety
remote sensing in earth systems sciences,Remote Sensing in Earth Systems Sciences
remote sensing of environment,Remote Sensing of Environment
river research and applications,River Research and Applications
science of the total environment,Science of the Total Environment
scientific data,Scientific Data
software,Software
stochastic environmental research and risk assessment,Stochastic Environmental Research and Risk Assessment
theoretical and applied climatology,Theoretical and Applied Climatology
urban climate,Urban Climate
water,Water
water and environment journal,Water and Environment Journal
water research,Water Research
water resources management,Water Resources Management
water resources research,Water Resources Research
water science and technology,Water Science and Technology
water security,Water Security
weather and climate extremes,Weather and Climate Extremes
wiley interdisciplinary reviews: water,Wiley Interdisciplinary Reviews: Water
